"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_chain","attribute_data:pa_chain","attribute_default:pa_chain","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_diamonds","attribute_data:pa_diamonds","attribute_default:pa_diamonds","attribute:pa_lock","attribute_data:pa_lock","attribute_default:pa_lock","attribute:pa_material","attribute_data:pa_material","attribute_default:pa_material","attribute:pa_measure","attribute_data:pa_measure","attribute_default:pa_measure","attribute:pa_movement","attribute_data:pa_movement","attribute_default:pa_movement"
"DECANTER3001 V","decanter3001-v","1652","Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.","Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.","publish","0","2016-03-11 15:37:22","0","1","open","DECANTER3001 V VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/hermitage/decanter3001-v/DECANTER3001.jpg | http://localhost/faberge/app/uploads/product/hermitage/decanter3001-v/DECANTER3001_zoom.jpg","","variable","Hermitage","","","0","","","","DB|GR|R|V","0|1|1","V","","","","","","","Crystal","0|1|0","","1 lt","0|1|0","1 lt","","",""
"DECANTER40464 GR","decanter40464-gr","1653","Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.","Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.","publish","0","2016-03-11 15:37:22","0","1","open","DECANTER40464 GR VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/hermitage/decanter40464-gr/DECANTER40464.jpg | http://localhost/faberge/app/uploads/product/hermitage/decanter40464-gr/DECANTER40464_zoom.jpg | http://localhost/faberge/app/uploads/product/hermitage/decanter40464-gr/DECANTER40464-2.jpg | http://localhost/faberge/app/uploads/product/hermitage/decanter40464-gr/DECANTER40464-2_zoom.jpg","","variable","Hermitage","","","0","","","","DB|GR|R|V","0|1|1","GR","","","","","","","Crystal","0|1|0","","1,25 lt","0|1|0","1,25 lt","","",""
"Moonlight","moonlight","1654","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","publish","0","2016-03-11 15:37:22","0","1","open","Moonlight VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-9/moonlight/Moonlight.jpg | http://localhost/faberge/app/uploads/product/tf-9/moonlight/Moonlight_zoom.jpg","","variable","TF-9","","","0","45 cm, ø 1,2 mm","0|1|0","","","","","97 stones","0|1|0","","","","","","","","10 mm|12 mm|15 mm","0|1|1","10-mm","","",""
"Chardonnay","chardonnay","1655","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","publish","0","2016-03-11 15:37:22","0","1","open","Chardonnay VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-9/chardonnay/Chardonnay.jpg | http://localhost/faberge/app/uploads/product/tf-9/chardonnay/Chardonnay_zoom.jpg","","variable","TF-9","","","0","45 cm, ø 1,2 mm|60 cm, ø 1,2 mm|80 cm, ø 1,2 mm","2|1|1","45-cm-o-12-mm","","","","132 stones|165 stones|97 stones","1|1|1","97-stones","","","","","","","10 mm|12 mm|15 mm","0|1|1","10-mm","","",""
"Blue Lake","blue-lake","1656","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","publish","0","2016-03-11 15:37:22","0","1","open","Blue Lake VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-9/blue-lake/Blue-Lake.jpg | http://localhost/faberge/app/uploads/product/tf-9/blue-lake/Blue-Lake_zoom.jpg","","variable","TF-9","","","0","45 cm, ø 1,2 mm","0|1|0","","","","","97 stones","0|1|0","","","","","","","","10 mm|12 mm|15 mm","0|1|1","10-mm","","",""
"Berry Field","berry-field","1657","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","publish","0","2016-03-11 15:37:22","0","1","open","Berry Field VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-9/berry-field/Berry-Field.jpg | http://localhost/faberge/app/uploads/product/tf-9/berry-field/Berry-Field_zoom.jpg","","variable","TF-9","","","0","45 cm, ø 1,2 mm","0|1|0","","","","","97 stones","0|1|0","","","","","","","","10 mm|12 mm|15 mm","0|1|1","10 mm","","",""
"Green Eye","green-eye","1658","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","publish","0","2016-03-11 15:37:22","0","1","open","Green Eye VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-9/green-eye/Green-Eye.jpg | http://localhost/faberge/app/uploads/product/tf-9/green-eye/Green-Eye_zoom.jpg","","variable","TF-9","","","0","45 cm, ø 1,2 mm","0|1|0","","","","","97 stones","0|1|0","","","","","","","","10 mm|12 mm|15 mm","0|1|1","10 mm","","",""
"Purple Plum","purple-plum","1659","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","TF. 9 pendants feature an elegant chain that goes through the same pendant, thus eliminating the use of counterlinks. The chains are finished in tune with the pendants, to harmonize the finish with the plating.","publish","0","2016-03-11 15:37:22","0","1","open","Purple Plum VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-9/purple-plum/Purple-Plum.jpg | http://localhost/faberge/app/uploads/product/tf-9/purple-plum/Purple-Plum_zoom.jpg","","variable","TF-9","","","0","45 cm, ø 1,2 mm","0|1|0","","","","","97 stones","0|1|0","","","","","","","","10 mm|12 mm|15 mm","0|1|1","10 mm","","",""
"CL001 DGYS","cl001-dgys","1660","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","Maison Tatiana Fabergé presents a range of products exclusively designed for men. TF Homme collection gives the wearer a sophisticated and elegant look.","publish","0","2016-03-11 15:37:22","0","1","open","CL001 DGYS VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/tf-homme/cl001-dgys/CL001DBS_zoom.jpg","","variable","TF Homme","","","0","","","","DBS|DGYS|GYS","0|1|1","dgys","","","","","","","Gold plated or white rhodium plated 925 silver, enamel","2|1|1","","13 mm","1|1|0","","","",""
"FRUIT69546 DB","fruit69546-db","1661","Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.","Legacy and passion for jewellery has been the inspiration for our latest collection the “Hermitage Collection”. Which is committed to developing the firm internationally in the respect for traditions inspired by the ”Great Carl Fabergé” and his sense of entrepreneurship.","publish","0","2016-03-11 15:37:23","0","1","open","FRUIT69546 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/hermitage/fruit69546-db/FRUIT69546.jpg | http://localhost/faberge/app/uploads/product/hermitage/fruit69546-db/FRUIT69546_zoom.jpg | http://localhost/faberge/app/uploads/product/hermitage/fruit69546-db/FRUIT69546-2.jpg | http://localhost/faberge/app/uploads/product/hermitage/fruit69546-db/FRUIT69546-2_zoom.jpg | http://localhost/faberge/app/uploads/product/hermitage/fruit69546-db/FRUIT69546-3.jpg | http://localhost/faberge/app/uploads/product/hermitage/fruit69546-db/FRUIT69546-3_zoom.jpg","","variable","Hermitage","","","0","","","","DB|GR|R|V","0|1|1","DB","","","","","","","Crystal","0|1|0","","15 cm","0|1|0","15 cm","","",""
